DLC,Lifetime Weighted DEL,AEP_mean_pwr_per_sd,AEP_max_pwr_per_sd,Variable,Seed-speed weighted DEL,Seed-speed-yaw-nocc Weighted DEL,Yaw,Uref,Seed,DEL_individual,Max_individual,Seed weighted DEL,Seed weighted Max,Mean_power
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd20,4825.191649365341,4230.187750931521,4804.317048668867,4010.7825426853465,2679.2611371936023
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd21,4782.224161968714,3956.195693713505,4804.317048668867,4010.7825426853465,2497.278075186854
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd22,4788.318256461116,3963.038438213915,4804.317048668867,4010.7825426853465,2523.4855052228727
1p2,,,,RootMxb1_[kN-m],,,0.0,9.0,sd23,4846.513185482568,4027.1159300829854,4804.317048668867,4010.7825426853465,2530.461872505952
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd0,4801.611262434648,3921.314867622311,4822.844667205994,3995.44960024073,3091.6445278080414
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd1,4782.558688204641,3943.3142575526012,4822.844667205994,3995.44960024073,3041.765561712223
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd2,4805.617346561536,4137.125737110789,4822.844667205994,3995.44960024073,2966.159645896949
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd3,4816.520978699585,4083.0367652219534,4822.844667205994,3995.44960024073,3065.5307852983874
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd4,4798.540075015268,3975.34218368893,4822.844667205994,3995.44960024073,2952.9403095862294
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd5,4856.595561239742,4133.899801952379,4822.844667205994,3995.44960024073,3051.200131439196
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd6,4820.694415301925,3878.850590362692,4822.844667205994,3995.44960024073,3031.8108585533514
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd7,4880.240789257799,4082.8078797636877,4822.844667205994,3995.44960024073,3027.5532270654235
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd8,4783.777501367669,3796.094634463727,4822.844667205994,3995.44960024073,2915.3514536977846
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd9,4826.4394467534175,4190.297232004155,4822.844667205994,3995.44960024073,2913.1532170001697
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd10,4774.82700236837,3913.4226497967293,4822.844667205994,3995.44960024073,2906.2975442731777
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd11,4820.918072538334,3946.364133421515,4822.844667205994,3995.44960024073,3004.4356823459652
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd12,4825.44099476919,4307.581259804021,4822.844667205994,3995.44960024073,2988.716628395075
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd13,4864.160136097982,4054.8883827175932,4822.844667205994,3995.44960024073,3084.1711737639475
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd14,4860.627222720559,3974.495384787202,4822.844667205994,3995.44960024073,2925.167132262642
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd15,4781.915595982091,3846.095933968961,4822.844667205994,3995.44960024073,2929.651337250415
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd16,4794.28745124032,3742.651899972976,4822.844667205994,3995.44960024073,3049.7054101851513
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd17,4829.15287797504,4057.8880685181603,4822.844667205994,3995.44960024073,3018.3602213279355
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd18,4817.033697267611,3795.414109458289,4822.844667205994,3995.44960024073,3126.2416067855643
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd19,4796.114246631571,3865.6767198896505,4822.844667205994,3995.44960024073,2933.4327390196504
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd20,4867.530802927686,4139.798003889704,4822.844667205994,3995.44960024073,3094.49000758392
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd21,4808.5060379469805,4104.2812520109965,4822.844667205994,3995.44960024073,2966.1326471320144
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd22,4834.954566962091,3948.583520879953,4822.844667205994,3995.44960024073,3026.8123874772937
1p2,,,,RootMxb1_[kN-m],,,0.0,10.0,sd23,4878.474769526394,4051.565136918538,4822.844667205994,3995.44960024073,2975.172383584451
1p2,,,,RootMxb1_[kN-m],,,0.0,11.0,sd0,4776.509393968118,4050.964657017875,4795.15695792422,3913.815575758233,3276.028286362833
1p2,,,,RootMxb1_[kN-m],,,0.0,11.0,sd1,4771.009414150464,3979.2357357226388,4795.15695792422,3913.815575758233,3256.9045682447727
1p2,,,,RootMxb1_[kN-m],,,0.0,11.0,sd2,4796.1408714216905,3889.3205367403293,4795.15695792422,3913.815575758233,3208.46132140099
1p2,,,,RootMxb1_[kN-m],,,0.0,11.0,sd3,4802.654879012724,3998.866928251578,4795.15695792422,3913.815575758233,3264.164252453251
1p2,,,,RootMxb1_[kN-m],,,0.0,11.0,sd4,4791.709836892638,3876.225644539955,4795.15695792422,3913.815575758233,3270.204979638186
